POPULATION
1,1,0,1,1,0,1,0,1,1
0,0,0,1,0,0,1,0,1,0
0,0,1,1,1,1,1,0,1,1
1,1,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,1,1,0
1,1,1,1,1,0,1,1,0,0
1,0,0,0,0,0,1,0,1,1
0,1,0,0,0,1,1,0,1,0
1,1,1,0,1,1,0,0,1,1
0,0,0,0,1,0,1,1,1,0



CROSSING
1,1,0,1,1,0,1,0,1,0
0,0,0,1,0,0,1,0,1,1
0,0,1,1,1,0,0,0,1,0
1,1,1,0,0,1,1,0,1,1
1,0,0,1,0,0,1,1,0,0
1,1,1,1,1,0,0,1,1,0
1,0,0,0,0,1,1,0,1,0
0,1,0,0,0,0,1,0,1,1
1,1,1,0,1,0,1,1,1,0
0,0,0,0,1,1,0,0,1,1



MUTATION
1,1,0,1,1,0,1,0,1,0
0,0,0,1,0,0,1,0,1,1
0,0,1,1,1,0,0,0,1,0
1,1,1,0,0,1,1,0,1,1
1,0,0,1,0,0,1,1,0,0
1,1,1,1,1,0,0,1,1,0
1,0,0,0,0,1,1,0,1,0
0,1,0,0,0,0,1,0,1,1
1,1,1,0,1,0,1,1,1,0
0,0,0,0,1,1,0,0,1,1
